fov,Cancer_Immune,Cancer_Structural,Structural_Immune,Structural_T,Structural_B,Structural_Mono_Mac
TONIC_TMA22_R10C6,,0.09379845,,,,
TONIC_TMA22_R11C3,,0.06292189,0.287483703,,,0.181172291
TONIC_TMA4_R10C1,,0.111861614,0.194490818,,,
TONIC_TMA4_R10C4,0.046585833,0.057004346,0.292775665,0.158476658,,0.304990758
TONIC_TMA4_R10C5,0.065900383,0.120638675,0.257878151,,,0.249454148
TONIC_TMA4_R10C6,0.060237557,0.118814248,0.287691187,,,0.247381144
TONIC_TMA4_R9C6,,0.061862528,0.286570743,,,0.255528256
TONIC_TMA13_R1C5,,0.107828656,0.21575985,,,0.161386139
TONIC_TMA16_R6C5,,,,,,
TONIC_TMA16_R6C6,0.067741935,0.112719552,0.275407779,0.152892562,,0.239834025
TONIC_TMA16_R8C3,,,,,,
