fov,cluster_1__proportion__cancer_border,cluster_2__proportion__cancer_border,cluster_3__proportion__cancer_border,cluster_4__proportion__cancer_border,cluster_5__proportion__cancer_border,cluster_6__proportion__cancer_border,cluster_7__proportion__cancer_border,cluster_8__proportion__cancer_border,cluster_9__proportion__cancer_border,cluster_10__proportion__cancer_border,cluster_11__proportion__cancer_border,cluster_12__proportion__cancer_border,cluster_1__proportion__cancer_core,cluster_2__proportion__cancer_core,cluster_3__proportion__cancer_core,cluster_4__proportion__cancer_core,cluster_5__proportion__cancer_core,cluster_6__proportion__cancer_core,cluster_7__proportion__cancer_core,cluster_8__proportion__cancer_core,cluster_9__proportion__cancer_core,cluster_10__proportion__cancer_core,cluster_11__proportion__cancer_core,cluster_12__proportion__cancer_core,cluster_1__proportion__stroma_border,cluster_2__proportion__stroma_border,cluster_3__proportion__stroma_border,cluster_4__proportion__stroma_border,cluster_5__proportion__stroma_border,cluster_6__proportion__stroma_border,cluster_7__proportion__stroma_border,cluster_8__proportion__stroma_border,cluster_9__proportion__stroma_border,cluster_10__proportion__stroma_border,cluster_11__proportion__stroma_border,cluster_12__proportion__stroma_border,cluster_1__proportion__stroma_core,cluster_2__proportion__stroma_core,cluster_3__proportion__stroma_core,cluster_4__proportion__stroma_core,cluster_5__proportion__stroma_core,cluster_6__proportion__stroma_core,cluster_7__proportion__stroma_core,cluster_8__proportion__stroma_core,cluster_9__proportion__stroma_core,cluster_10__proportion__stroma_core,cluster_11__proportion__stroma_core,cluster_12__proportion__stroma_core
TONIC_TMA13_R1C5,0.37389770723104054,0.0,0.4656084656084656,0.024691358024691357,0.0,0.0,0.0,0.08112874779541446,0.02292768959435626,0.031746031746031744,0.0,0.0,0.9139072847682119,0.0,0.08609271523178808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06358381502890173,0.005780346820809248,0.5028901734104047,0.12138728323699421,0.0,0.0,0.008670520231213872,0.06358381502890173,0.0953757225433526,0.13872832369942195,0.0,0.0,0.008086253369272238,0.005390835579514825,0.20215633423180593,0.1778975741239892,0.0,0.0,0.0215633423180593,0.029649595687331536,0.2991913746630728,0.2560646900269542,0.0,0.0
TONIC_TMA16_R6C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.15,0.0,0.0,0.025,0.0,0.25,0.575,0.0,0.0
TONIC_TMA16_R6C6,0.08930540242557883,0.0,0.3947078280044101,0.009922822491730982,0.0,0.0,0.0,0.4718853362734289,0.027563395810363836,0.006615214994487321,0.0,0.0,0.5447761194029851,0.0,0.23507462686567165,0.0,0.0,0.0,0.0,0.22014925373134328,0.0,0.0,0.0,0.0,0.01805869074492099,0.011286681715575621,0.27539503386004516,0.17607223476297967,0.0,0.0,0.0,0.3295711060948081,0.17832957110609482,0.011286681715575621,0.0,0.0,0.005110732538330494,0.0034071550255536627,0.044293015332197615,0.403747870528109,0.0,0.0,0.0034071550255536627,0.09880749574105621,0.28620102214650767,0.10051107325383304,0.054514480408858604,0.0
TONIC_TMA16_R8C3,0.14736842105263157,0.0,0.39473684210526316,0.0,0.0,0.0,0.0,0.45789473684210524,0.0,0.0,0.0,0.0,0.4774193548387097,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.36129032258064514,0.0,0.0,0.0,0.0,0.046875,0.0,0.421875,0.015625,0.0,0.0,0.0,0.375,0.140625,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0.0,0.0,0.0625,0.125,0.625,0.09375,0.0,0.0
TONIC_TMA22_R10C6,0.4620938628158845,0.0,0.48014440433212996,0.0018050541516245488,0.0,0.0,0.0018050541516245488,0.030685920577617327,0.0018050541516245488,0.021660649819494584,0.0,0.0,0.8076923076923077,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27848101265822783,0.0,0.5506329113924051,0.006329113924050633,0.0,0.0,0.0,0.02531645569620253,0.0,0.13924050632911392,0.0,0.0,0.03418803418803419,0.0,0.21367521367521367,0.042735042735042736,0.0,0.0,0.008547008547008548,0.07692307692307693,0.017094017094017096,0.6068376068376068,0.0,0.0
TONIC_TMA22_R11C3,0.38979591836734695,0.0020408163265306124,0.46530612244897956,0.0020408163265306124,0.0,0.0,0.018367346938775512,0.07755102040816327,0.022448979591836733,0.022448979591836733,0.0,0.0,0.7728459530026109,0.0,0.2010443864229765,0.0,0.0,0.0,0.0,0.02349869451697128,0.0026109660574412533,0.0,0.0,0.0,0.15897435897435896,0.010256410256410256,0.48205128205128206,0.046153846153846156,0.0,0.0,0.015384615384615385,0.07692307692307693,0.12307692307692308,0.08717948717948718,0.0,0.0,0.0027100271002710027,0.1842818428184282,0.01084010840108401,0.051490514905149054,0.0,0.0,0.0027100271002710027,0.0,0.6449864498644986,0.10298102981029811,0.0,0.0
TONIC_TMA4_R10C1,0.43636363636363634,0.0,0.44285714285714284,0.015584415584415584,0.0,0.0,0.0025974025974025974,0.02857142857142857,0.06883116883116883,0.005194805194805195,0.0,0.0,0.9109947643979057,0.0,0.08638743455497382,0.0,0.0,0.0,0.0,0.002617801047120419,0.0,0.0,0.0,0.0,0.09711286089238845,0.0,0.47244094488188976,0.07611548556430446,0.0,0.0,0.03937007874015748,0.023622047244094488,0.2755905511811024,0.015748031496062992,0.0,0.0,0.006864988558352402,0.0,0.08924485125858124,0.13272311212814644,0.0,0.0,0.07780320366132723,0.002288329519450801,0.5606407322654462,0.13043478260869565,0.0,0.0
TONIC_TMA4_R10C4,0.4195933456561922,0.0,0.5249537892791127,0.018484288354898338,0.0,0.0,0.0,0.011090573012939002,0.024029574861367836,0.0018484288354898336,0.0,0.0,0.860730593607306,0.0,0.1232876712328767,0.0,0.0,0.0,0.0,0.01598173515981735,0.0,0.0,0.0,0.0,0.17796610169491525,0.01694915254237288,0.5338983050847458,0.07203389830508475,0.0,0.0,0.0,0.029661016949152543,0.15677966101694915,0.012711864406779662,0.0,0.0,0.0,0.16156670746634028,0.01591187270501836,0.4394124847001224,0.0,0.0,0.0208078335373317,0.0,0.3292533659730722,0.022031823745410038,0.011015911872705019,0.0
TONIC_TMA4_R10C5,0.26785714285714285,0.0,0.5297619047619048,0.015873015873015872,0.0,0.0,0.001984126984126984,0.015873015873015872,0.16865079365079366,0.0,0.0,0.0,0.9058823529411765,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.3978494623655914,0.07258064516129033,0.0,0.0,0.0,0.013440860215053764,0.4327956989247312,0.0,0.0,0.0,0.0012453300124533001,0.0012453300124533001,0.026151930261519303,0.20298879202988793,0.0,0.0,0.0037359900373599006,0.0,0.7409713574097135,0.023661270236612703,0.0,0.0
TONIC_TMA4_R10C6,0.14614614614614616,0.0,0.6146146146146146,0.02002002002002002,0.0,0.0,0.02002002002002002,0.02702702702702703,0.17217217217217218,0.0,0.0,0.0,0.6387900355871886,0.0,0.3220640569395018,0.0,0.0,0.0,0.0,0.037366548042704624,0.0017793594306049821,0.0,0.0,0.0,0.037267080745341616,0.003105590062111801,0.39906832298136646,0.10093167701863354,0.0,0.0,0.020186335403726708,0.015527950310559006,0.42391304347826086,0.0,0.0,0.0,0.0,0.001996007984031936,0.011976047904191617,0.2714570858283433,0.0,0.0,0.0,0.0,0.7105788423153693,0.003992015968063872,0.0,0.0
