fov,cluster_1__proportion,cluster_2__proportion,cluster_3__proportion,cluster_4__proportion,cluster_5__proportion,cluster_6__proportion,cluster_7__proportion,cluster_8__proportion,cluster_9__proportion,cluster_10__proportion,cluster_11__proportion,cluster_12__proportion
TONIC_TMA13_R1C5,0.2613240418118467,0.0027874564459930314,0.36655052264808363,0.08501742160278745,0.0,0.0,0.007665505226480836,0.05505226480836237,0.10940766550522649,0.11219512195121951,0.0,0.0
TONIC_TMA16_R6C5,0.0,0.0,0.0,0.15,0.0,0.0,0.025,0.0,0.25,0.575,0.0,0.0
TONIC_TMA16_R6C6,0.10793650793650794,0.0031746031746031746,0.25804988662131517,0.1469387755102041,0.0,0.0,0.0009070294784580499,0.3133786848072562,0.12335600907029479,0.031746031746031744,0.014512471655328799,0.0
TONIC_TMA16_R8C3,0.30033557046979864,0.0,0.25838926174496646,0.003355704697986577,0.0,0.0,0.003355704697986577,0.3808724832214765,0.04865771812080537,0.0050335570469798654,0.0,0.0
TONIC_TMA22_R10C6,0.4046306504961411,0.0,0.43329658213891953,0.007717750826901874,0.0,0.0,0.002205071664829107,0.03307607497243661,0.0033076074972436605,0.11576626240352811,0.0,0.0
TONIC_TMA22_R11C3,0.36116910229645094,0.049408489909533754,0.2804453723034099,0.020180932498260265,0.0,0.0,0.009046624913013222,0.04314544189283229,0.1906750173973556,0.04592901878914405,0.0,0.0
TONIC_TMA4_R10C1,0.36751269035532996,0.0,0.30101522842639594,0.050253807106598984,0.0,0.0,0.025888324873096447,0.016751269035532996,0.20456852791878172,0.03401015228426396,0.0,0.0
TONIC_TMA4_R10C4,0.31791338582677164,0.06692913385826772,0.23474409448818898,0.18996062992125984,0.0,0.0,0.008366141732283465,0.00984251968503937,0.15698818897637795,0.010826771653543307,0.0044291338582677165,0.0
TONIC_TMA4_R10C5,0.1383219954648526,0.0005668934240362812,0.25170068027210885,0.11224489795918367,0.0,0.0,0.0022675736961451248,0.007369614512471655,0.4767573696145125,0.010770975056689343,0.0,0.0
TONIC_TMA4_R10C6,0.19549150036954915,0.0011086474501108647,0.3909830007390983,0.08167036215816703,0.0,0.0,0.012195121951219513,0.021433850702143386,0.29637841832963785,0.0007390983000739098,0.0,0.0
TONIC_TMA4_R9C6,0.46028767979987495,0.0,0.2026266416510319,0.05753595997498437,0.0,0.0,0.01938711694809256,0.013133208255159476,0.16948092557848654,0.07754846779237023,0.0,0.0
